"trial","ref_position","var_area","response","correct","rt"
1,"R",9.30604972387664,"R",FALSE,15.9979999065399
2,"L",12.7141731947195,"R",TRUE,2.38700008392334
3,"L",8.04690525797196,"L",TRUE,2.19700002670288
4,"R",13.3952231351286,"L",TRUE,1.9009997844696
5,"R",9.26392121589743,"L",TRUE,1.69400000572205
6,"R",9.62879225495271,"L",TRUE,2.89499998092651
7,"R",9.00632610125467,"L",TRUE,3.5990002155304
8,"L",9.71021541627124,"R",TRUE,3.49399995803833
9,"L",13.8915086407214,"R",TRUE,1.79699993133545
10,"R",13.025762262987,"L",TRUE,1.7960000038147
11,"L",11.8402755914722,"R",TRUE,1.69400000572205
12,"L",8.60876244842075,"R",FALSE,3.69299983978271
13,"R",10.2926466923673,"L",TRUE,2.0939998626709
14,"L",12.3843455079477,"R",TRUE,1.8970000743866
15,"L",13.2924873768352,"R",TRUE,1.7039999961853
16,"L",10.3084065911826,"R",TRUE,1.89400005340576
17,"L",12.8146845870651,"R",TRUE,1.49600005149841
18,"R",11.7864139869343,"L",TRUE,1.99699997901917
19,"R",8.2135532614775,"R",TRUE,1.99399995803833
20,"L",12.9978501412552,"R",TRUE,1.49699997901917